day,solar (MW),wind (MW),load (MW),solar_forcast (MW),wind_forecast (MW),load_forecast (MW),price (EUR/MWh),emission factor (kg CO2/MWh)
2,20.0,4651.0,15972.0,774.0,5226.0,13785.0,76.0,147.95249700546
2,12.0,4522.0,16095.0,711.0,5198.0,13723.0,76.0,147.95249700546
2,8.0,4439.0,16226.0,648.0,5168.0,13732.0,76.0,147.95249700546
2,6.0,4178.0,16306.0,583.0,5137.0,13758.0,76.0,147.95249700546
2,3.0,3906.0,16400.0,520.0,5105.0,13906.0,79.0,173.33599925041
2,1.0,3986.0,16506.0,401.0,5073.0,13895.0,79.0,173.33599925041
2,0.0,3872.0,16617.0,282.0,5040.0,13969.0,79.0,173.33599925041
2,0.0,3710.0,16930.0,165.0,5006.0,14063.0,79.0,173.33599925041
2,0.0,3580.0,17040.0,46.0,4972.0,14139.0,101.0,196.08275592327
2,0.0,3389.0,17272.0,34.0,4938.0,14106.0,101.0,196.08275592327
2,0.0,3239.0,17365.0,23.0,4902.0,14130.0,101.0,196.08275592327
2,0.0,3223.0,17310.0,8.0,4870.0,14100.0,101.0,196.08275592327
2,0.0,3092.0,16938.0,0.0,4834.0,13948.0,114.6,200.39224624634
2,0.0,2990.0,16636.0,0.0,4798.0,13632.0,114.6,200.39224624634
2,0.0,2916.0,16452.0,0.0,4763.0,13384.0,114.6,200.39224624634
2,0.0,2947.0,16318.0,0.0,4728.0,13191.0,114.6,200.39224624634
2,0.0,2907.0,16185.0,0.0,4692.0,13031.0,100.0,186.28925085068
2,0.0,2946.0,16016.0,0.0,4684.0,12829.0,100.0,186.28925085068
2,0.0,2981.0,15847.0,0.0,4705.0,12638.0,100.0,186.28925085068
2,0.0,2908.0,15760.0,0.0,4727.0,12510.0,100.0,186.28925085068
2,0.0,2846.0,15581.0,0.0,4749.0,12481.0,73.23,176.61425471306
2,0.0,2816.0,15433.0,0.0,4769.0,12464.0,73.23,176.61425471306
2,0.0,2878.0,15225.0,0.0,4792.0,12319.0,73.23,176.61425471306
2,0.0,2982.0,15041.0,0.0,4812.0,12123.0,73.23,176.61425471306
2,0.0,3092.0,14830.0,0.0,4834.0,12008.0,67.41,169.8684990406
2,0.0,3016.0,14671.0,0.0,4853.0,11947.0,67.41,169.8684990406
2,0.0,2981.0,14460.0,0.0,4867.0,11830.0,67.41,169.8684990406
2,0.0,3012.0,14263.0,0.0,4884.0,11717.0,67.41,169.8684990406
2,0.0,3049.0,14018.0,0.0,4902.0,11611.0,65.0,154.80649471283002
2,0.0,3139.0,13841.0,0.0,4915.0,11436.0,65.0,154.80649471283002
2,0.0,3191.0,13647.0,0.0,4928.0,11304.0,65.0,154.80649471283002
2,0.0,3236.0,13426.0,0.0,4940.0,11156.0,65.0,154.80649471283002
2,0.0,3252.0,13283.0,0.0,4953.0,11010.0,58.12,149.05025064945
2,0.0,3336.0,13060.0,0.0,4964.0,10848.0,58.12,149.05025064945
2,0.0,3229.0,12842.0,0.0,4979.0,10701.0,58.12,149.05025064945
2,0.0,3160.0,12695.0,0.0,4995.0,10533.0,58.12,149.05025064945
3,0.0,3153.0,12510.0,0.0,2950.0,10465.0,57.3,134.05850529671002
3,0.0,3127.0,12421.0,0.0,2950.0,10507.0,57.3,134.05850529671002
3,0.0,3206.0,12319.0,0.0,2952.0,10388.0,57.3,134.05850529671002
3,0.0,3309.0,12222.0,0.0,2954.0,10359.0,57.3,134.05850529671002
3,0.0,3312.0,12152.0,0.0,2959.0,10267.0,50.46,130.86199760437
3,0.0,3286.0,12064.0,0.0,2945.0,10177.0,50.46,130.86199760437
3,0.0,3346.0,11963.0,0.0,2917.0,10072.0,50.46,130.86199760437
3,0.0,3345.0,11860.0,0.0,2890.0,10000.0,50.46,130.86199760437
3,0.0,3195.0,11760.0,0.0,2864.0,9889.0,40.0,131.87350332737
3,0.0,3115.0,11665.0,0.0,2837.0,9767.0,40.0,131.87350332737
3,0.0,3166.0,11571.0,0.0,2809.0,9752.0,40.0,131.87350332737
3,0.0,3161.0,11516.0,0.0,2781.0,9721.0,40.0,131.87350332737
3,0.0,3265.0,11555.0,0.0,2755.0,9679.0,25.48,144.91850137710998
3,0.0,3330.0,11555.0,0.0,2728.0,9676.0,25.48,144.91850137710998
3,0.0,3162.0,11540.0,0.0,2700.0,9667.0,25.48,144.91850137710998
3,0.0,3058.0,11474.0,0.0,2676.0,9645.0,25.48,144.91850137710998
3,0.0,2955.0,11486.0,0.0,2647.0,9716.0,35.0,179.04774844646
3,0.0,2898.0,11462.0,0.0,2566.0,9793.0,35.0,179.04774844646
3,0.0,2849.0,11484.0,0.0,2430.0,9815.0,35.0,179.04774844646
3,0.0,2672.0,11516.0,0.0,2292.0,9814.0,35.0,179.04774844646
3,0.0,2523.0,11581.0,0.0,2152.0,9866.0,57.73,215.1595056057
3,0.0,2399.0,11703.0,0.0,2030.0,9988.0,57.73,215.1595056057
3,0.0,2370.0,11844.0,0.0,1920.0,10122.0,57.73,215.1595056057
3,0.0,2330.0,11943.0,0.0,1810.0,10258.0,57.73,215.1595056057
3,0.0,2299.0,12383.0,0.0,1702.0,10471.0,72.65,242.25425720215
3,0.0,1984.0,12634.0,0.0,1603.0,10749.0,72.65,242.25425720215
3,0.0,1926.0,12865.0,0.0,1517.0,10952.0,72.65,242.25425720215
3,0.0,2096.0,13179.0,0.0,1429.0,11150.0,72.65,242.25425720215
3,0.0,2105.0,13774.0,0.0,1343.0,11448.0,85.02,269.87925171852
3,0.0,2136.0,14160.0,0.0,1266.0,11845.0,85.02,269.87925171852
3,0.0,2172.0,14546.0,0.0,1199.0,12207.0,85.02,269.87925171852
3,0.0,2178.0,14892.0,0.0,1135.0,12456.0,85.02,269.87925171852
3,0.0,2084.0,15283.0,0.0,1067.0,12776.0,91.47,285.56600213050996
